handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
vintage-logo-tee,Vintage Logo Tee,Distressed print of our classic 1975 logo. Washed black cotton. Feels like you have had it for decades.,Thunder Road,T-Shirts,vintage;bestseller;classic,36.99,44.99,VTG-LOGO-S,70,0.4,lb,https://images.unsplash.com/photo-1529374255404-311a2a4f1fd0?w=800,Size,Small
vintage-logo-tee,Vintage Logo Tee,Distressed print of our classic 1975 logo. Washed black cotton. Feels like you have had it for decades.,Thunder Road,T-Shirts,vintage;bestseller;classic,36.99,44.99,VTG-LOGO-M,100,0.4,lb,https://images.unsplash.com/photo-1529374255404-311a2a4f1fd0?w=800,Size,Medium
vintage-logo-tee,Vintage Logo Tee,Distressed print of our classic 1975 logo. Washed black cotton. Feels like you have had it for decades.,Thunder Road,T-Shirts,vintage;bestseller;classic,36.99,44.99,VTG-LOGO-L,90,0.45,lb,https://images.unsplash.com/photo-1529374255404-311a2a4f1fd0?w=800,Size,Large
vintage-logo-tee,Vintage Logo Tee,Distressed print of our classic 1975 logo. Washed black cotton. Feels like you have had it for decades.,Thunder Road,T-Shirts,vintage;bestseller;classic,36.99,44.99,VTG-LOGO-XL,60,0.5,lb,https://images.unsplash.com/photo-1529374255404-311a2a4f1fd0?w=800,Size,X-Large
tour-77-tee,1977 World Tour Tee,Reproduction of the original 1977 tour shirt. Cream colored with vintage tour dates on back.,Thunder Road,T-Shirts,vintage;tour;collector,42.99,52.99,TOUR77-S,40,0.4,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Small
tour-77-tee,1977 World Tour Tee,Reproduction of the original 1977 tour shirt. Cream colored with vintage tour dates on back.,Thunder Road,T-Shirts,vintage;tour;collector,42.99,52.99,TOUR77-M,60,0.4,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Medium
tour-77-tee,1977 World Tour Tee,Reproduction of the original 1977 tour shirt. Cream colored with vintage tour dates on back.,Thunder Road,T-Shirts,vintage;tour;collector,42.99,52.99,TOUR77-L,50,0.45,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Large
leather-jacket-patch,Leather Jacket Back Patch,Large embroidered back patch for jackets. Eagle and lightning bolt design. 12 inches.,Thunder Road,Patches,patches;diy;premium,34.99,,PATCH-EAGLE,100,0.2,lb,https://images.unsplash.com/photo-1551028150-64b9f398f678?w=800,,
denim-vest,Distressed Denim Vest,Vintage wash denim vest. Embroidered logo on back. Brass buttons.,Thunder Road,Outerwear,premium;denim;vintage,89.99,119.99,VEST-DEN-M,30,1.2,lb,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,Size,Medium
denim-vest,Distressed Denim Vest,Vintage wash denim vest. Embroidered logo on back. Brass buttons.,Thunder Road,Outerwear,premium;denim;vintage,89.99,119.99,VEST-DEN-L,35,1.3,lb,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,Size,Large
denim-vest,Distressed Denim Vest,Vintage wash denim vest. Embroidered logo on back. Brass buttons.,Thunder Road,Outerwear,premium;denim;vintage,89.99,119.99,VEST-DEN-XL,25,1.4,lb,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,Size,X-Large
vinyl-remaster,Greatest Hits Vinyl Remaster,180 gram audiophile vinyl. Remastered from original analog tapes. Gatefold sleeve with rare photos.,Thunder Road,Music,vinyl;bestseller;collector,44.99,,VINYL-HITS,150,1.0,lb,https://images.unsplash.com/photo-1539375665275-f9de415ef9ac?w=800,,
concert-poster,1978 Madison Square Garden Poster,Museum quality reproduction of iconic MSG show poster. 24x36 on heavy stock.,Thunder Road,Posters,vintage;decor;collector,29.99,,POST-MSG78,120,0.4,lb,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=800,,
whiskey-glasses,Rock Glass Set,Set of 2 whiskey glasses with etched band logo. 10oz each. Gift boxed.,Thunder Road,Drinkware,drinkware;gift;premium,39.99,,WHISKEY-SET,80,1.5,lb,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800,,
leather-keychain,Leather Logo Keychain,Genuine leather keychain with debossed logo and brass hardware. Made in USA.,Thunder Road,Accessories,accessories;leather;gift,18.99,,KEY-LEATHER,200,0.1,lb,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?w=800,,
baseball-cap,Vintage Trucker Cap,Brown and tan trucker cap with embroidered logo patch. Snapback closure.,Thunder Road,Headwear,accessories;vintage;hats,32.99,,CAP-TRUCK,100,0.2,lb,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,,
bandana,Paisley Tour Bandana,Cotton bandana with paisley print and band logo. Classic red colorway.,Thunder Road,Accessories,accessories;vintage;tour,14.99,,BANDA-RED,250,0.1,lb,https://images.unsplash.com/photo-1590330297626-d7aff25a0431?w=800,,
