handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
neon-tee,Neon Nights Tee,Navy tee with vintage neon sign graphic. Our signature honky tonk design.,Trailer Park Shakespeare,T-Shirts,bestseller;neon;navy,29.99,37.99,NEON-TEE-S,80,0.4,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Small
neon-tee,Neon Nights Tee,Navy tee with vintage neon sign graphic. Our signature honky tonk design.,Trailer Park Shakespeare,T-Shirts,bestseller;neon;navy,29.99,37.99,NEON-TEE-M,120,0.4,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Medium
neon-tee,Neon Nights Tee,Navy tee with vintage neon sign graphic. Our signature honky tonk design.,Trailer Park Shakespeare,T-Shirts,bestseller;neon;navy,29.99,37.99,NEON-TEE-L,100,0.45,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,Large
neon-tee,Neon Nights Tee,Navy tee with vintage neon sign graphic. Our signature honky tonk design.,Trailer Park Shakespeare,T-Shirts,bestseller;neon;navy,29.99,37.99,NEON-TEE-XL,70,0.5,lb,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800,Size,X-Large
flannel-shirt,Trail Dust Flannel,Heavyweight flannel in burnt orange and navy plaid. Embroidered logo on chest pocket.,Trailer Park Shakespeare,Shirts,premium;flannel;winter,64.99,79.99,FLAN-DUST-S,35,0.7,lb,https://images.unsplash.com/photo-1589310243389-96a5483213a8?w=800,Size,Small
flannel-shirt,Trail Dust Flannel,Heavyweight flannel in burnt orange and navy plaid. Embroidered logo on chest pocket.,Trailer Park Shakespeare,Shirts,premium;flannel;winter,64.99,79.99,FLAN-DUST-M,50,0.75,lb,https://images.unsplash.com/photo-1589310243389-96a5483213a8?w=800,Size,Medium
flannel-shirt,Trail Dust Flannel,Heavyweight flannel in burnt orange and navy plaid. Embroidered logo on chest pocket.,Trailer Park Shakespeare,Shirts,premium;flannel;winter,64.99,79.99,FLAN-DUST-L,45,0.8,lb,https://images.unsplash.com/photo-1589310243389-96a5483213a8?w=800,Size,Large
flannel-shirt,Trail Dust Flannel,Heavyweight flannel in burnt orange and navy plaid. Embroidered logo on chest pocket.,Trailer Park Shakespeare,Shirts,premium;flannel;winter,64.99,79.99,FLAN-DUST-XL,30,0.85,lb,https://images.unsplash.com/photo-1589310243389-96a5483213a8?w=800,Size,X-Large
trucker-hat,Sunset Trucker Hat,Orange and cream mesh back trucker hat. Embroidered sunset and cactus design.,Trailer Park Shakespeare,Headwear,hats;bestseller;summer,27.99,,HAT-SUNSET,200,0.2,lb,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,,
cowboy-hat-band,Leather Hat Band,Genuine leather hat band with silver conchos. Fits most cowboy hats.,Trailer Park Shakespeare,Accessories,accessories;leather;western,34.99,,HATBAND-SLV,80,0.15,lb,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?w=800,,
koozie-pack,Koozie 4-Pack,Set of 4 foam koozies with different Trailer Park Shakespeare designs. Keeps your beer cold.,Trailer Park Shakespeare,Drinkware,drinkware;set;summer,16.99,,KOOZ-4PK,300,0.3,lb,https://images.unsplash.com/photo-1567696911980-2eed69a46042?w=800,,
tank-top,Honky Tonk Tank,Cream colored tank with distressed honky tonk print. Relaxed unisex fit.,Trailer Park Shakespeare,Tops,summer;tank;vintage,26.99,32.99,TANK-HONK-S,60,0.25,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Small
tank-top,Honky Tonk Tank,Cream colored tank with distressed honky tonk print. Relaxed unisex fit.,Trailer Park Shakespeare,Tops,summer;tank;vintage,26.99,32.99,TANK-HONK-M,80,0.25,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Medium
tank-top,Honky Tonk Tank,Cream colored tank with distressed honky tonk print. Relaxed unisex fit.,Trailer Park Shakespeare,Tops,summer;tank;vintage,26.99,32.99,TANK-HONK-L,65,0.3,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Large
belt-buckle,Rodeo Belt Buckle,Antique brass belt buckle with band logo. Fits standard belt straps.,Trailer Park Shakespeare,Accessories,accessories;western;premium,44.99,,BUCKLE-LOGO,75,0.4,lb,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?w=800,,
stadium-blanket,Tailgate Blanket,Large fleece blanket with band logo. Perfect for outdoor shows and tailgates. 50x60 inches.,Trailer Park Shakespeare,Accessories,accessories;outdoor;winter,49.99,,BLANK-TAIL,60,1.5,lb,https://images.unsplash.com/photo-1545239705-1564e58b9e4a?w=800,,
bottle-opener,Nashville Bottle Opener,Cast iron wall mount bottle opener shaped like a guitar. Screws included.,Trailer Park Shakespeare,Barware,barware;gift;decor,22.99,,OPEN-GUITAR,120,0.5,lb,https://images.unsplash.com/photo-1567696911980-2eed69a46042?w=800,,
bumper-sticker,Bumper Sticker 3-Pack,Set of 3 vinyl bumper stickers. Weatherproof. Various Trailer Park Shakespeare designs.,Trailer Park Shakespeare,Accessories,accessories;stickers;cheap,7.99,,STICKER-3PK,500,0.05,lb,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800,,
