handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
cathedral-tee,Cathedral Collapse Tour Tee,Black heavyweight cotton tee with full back print of crumbling gothic cathedral. Front pocket print of band logo in blood red.,Voidcrusher,T-Shirts,tour;bestseller;black,34.99,44.99,CAT-TEE-S,80,0.4,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Small
cathedral-tee,Cathedral Collapse Tour Tee,Black heavyweight cotton tee with full back print of crumbling gothic cathedral. Front pocket print of band logo in blood red.,Voidcrusher,T-Shirts,tour;bestseller;black,34.99,44.99,CAT-TEE-M,120,0.4,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Medium
cathedral-tee,Cathedral Collapse Tour Tee,Black heavyweight cotton tee with full back print of crumbling gothic cathedral. Front pocket print of band logo in blood red.,Voidcrusher,T-Shirts,tour;bestseller;black,34.99,44.99,CAT-TEE-L,100,0.45,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Large
cathedral-tee,Cathedral Collapse Tour Tee,Black heavyweight cotton tee with full back print of crumbling gothic cathedral. Front pocket print of band logo in blood red.,Voidcrusher,T-Shirts,tour;bestseller;black,34.99,44.99,CAT-TEE-XL,60,0.5,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,X-Large
cathedral-tee,Cathedral Collapse Tour Tee,Black heavyweight cotton tee with full back print of crumbling gothic cathedral. Front pocket print of band logo in blood red.,Voidcrusher,T-Shirts,tour;bestseller;black,36.99,46.99,CAT-TEE-2X,40,0.55,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,2X-Large
death-hoodie,Death March Hoodie,Heavy black pullover hoodie with embroidered skull and thorns on chest. Blood red inner hood lining.,Voidcrusher,Hoodies,winter;premium;black,74.99,89.99,DEATH-HOOD-S,30,1.2,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Small
death-hoodie,Death March Hoodie,Heavy black pullover hoodie with embroidered skull and thorns on chest. Blood red inner hood lining.,Voidcrusher,Hoodies,winter;premium;black,74.99,89.99,DEATH-HOOD-M,50,1.2,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Medium
death-hoodie,Death March Hoodie,Heavy black pullover hoodie with embroidered skull and thorns on chest. Blood red inner hood lining.,Voidcrusher,Hoodies,winter;premium;black,74.99,89.99,DEATH-HOOD-L,45,1.3,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,Large
death-hoodie,Death March Hoodie,Heavy black pullover hoodie with embroidered skull and thorns on chest. Blood red inner hood lining.,Voidcrusher,Hoodies,winter;premium;black,74.99,89.99,DEATH-HOOD-XL,35,1.4,lb,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e?w=800,Size,X-Large
logo-patch,Embroidered Logo Patch,Iron-on embroidered patch featuring the Voidcrusher logo. 4 inches wide. Perfect for battle jackets.,Voidcrusher,Patches,accessories;patches;diy,8.99,,PATCH-LOGO,500,0.05,lb,https://images.unsplash.com/photo-1551028150-64b9f398f678?w=800,,
skull-patch,Skull and Chains Patch,Large back patch featuring skull wrapped in chains. 10 inches tall. Woven fabric.,Voidcrusher,Patches,accessories;patches;diy,18.99,,PATCH-SKULL,200,0.1,lb,https://images.unsplash.com/photo-1551028150-64b9f398f678?w=800,,
longsleeve,Eternal Darkness Long Sleeve,Black long sleeve with sleeve prints. Pentagrams down both arms. Back print of burning church.,Voidcrusher,Long Sleeves,winter;black;bestseller,44.99,54.99,LONG-DARK-M,60,0.5,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Medium
longsleeve,Eternal Darkness Long Sleeve,Black long sleeve with sleeve prints. Pentagrams down both arms. Back print of burning church.,Voidcrusher,Long Sleeves,winter;black;bestseller,44.99,54.99,LONG-DARK-L,55,0.55,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,Large
longsleeve,Eternal Darkness Long Sleeve,Black long sleeve with sleeve prints. Pentagrams down both arms. Back print of burning church.,Voidcrusher,Long Sleeves,winter;black;bestseller,44.99,54.99,LONG-DARK-XL,40,0.6,lb,https://images.unsplash.com/photo-1503341504253-dff4815485f1?w=800,Size,X-Large
beanie,Voidcrusher Beanie,Black knit beanie with embroidered logo. One size fits most. Fold-over cuff.,Voidcrusher,Headwear,winter;accessories;black,24.99,,BEANIE-BLK,150,0.2,lb,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=800,,
vinyl-box,Discography Vinyl Box Set,Complete studio discography on 180g black vinyl. 6 LP box set with exclusive liner notes and art prints.,Voidcrusher,Music,vinyl;collector;premium,149.99,199.99,VINYL-BOX,75,8.0,lb,https://images.unsplash.com/photo-1539375665275-f9de415ef9ac?w=800,,
flag,Cathedral Banner Flag,Large 3x5 foot polyester flag. Cathedral artwork with logo. Metal grommets.,Voidcrusher,Flags,accessories;decor;tour,29.99,,FLAG-CATH,100,0.3,lb,https://images.unsplash.com/photo-1516450360452-9312f5e86fc7?w=800,,
shot-glass,Unholy Shot Glass Set,Set of 4 black shot glasses with band logo etched in red. 1.5oz each.,Voidcrusher,Drinkware,accessories;drinkware;set,19.99,,SHOT-SET,80,0.8,lb,https://images.unsplash.com/photo-1514362545857-3bc16c4c7d1b?w=800,,
