handle,title,description,vendor,type,tags,price,compare_at_price,sku,inventory_qty,weight,weight_unit,image_url,variant_option1_name,variant_option1_value
neon-crop,Neon Dreams Crop Top,Hot pink crop top with holographic logo print. Relaxed fit. 100% cotton.,Glitter Bomb Evacuation,Tops,bestseller;summer;pink,32.99,42.99,CROP-PINK-XS,60,0.25,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,X-Small
neon-crop,Neon Dreams Crop Top,Hot pink crop top with holographic logo print. Relaxed fit. 100% cotton.,Glitter Bomb Evacuation,Tops,bestseller;summer;pink,32.99,42.99,CROP-PINK-S,90,0.25,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Small
neon-crop,Neon Dreams Crop Top,Hot pink crop top with holographic logo print. Relaxed fit. 100% cotton.,Glitter Bomb Evacuation,Tops,bestseller;summer;pink,32.99,42.99,CROP-PINK-M,100,0.3,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Medium
neon-crop,Neon Dreams Crop Top,Hot pink crop top with holographic logo print. Relaxed fit. 100% cotton.,Glitter Bomb Evacuation,Tops,bestseller;summer;pink,32.99,42.99,CROP-PINK-L,70,0.3,lb,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,Size,Large
tie-dye-tee,Electric Tie Dye Tee,Oversized tee in cyan and pink tie dye. Puff print logo on front.,Glitter Bomb Evacuation,T-Shirts,summer;tie-dye;oversized,39.99,49.99,TIE-ELEC-S,55,0.4,lb,https://images.unsplash.com/photo-1503342394128-c104d54dba01?w=800,Size,Small
tie-dye-tee,Electric Tie Dye Tee,Oversized tee in cyan and pink tie dye. Puff print logo on front.,Glitter Bomb Evacuation,T-Shirts,summer;tie-dye;oversized,39.99,49.99,TIE-ELEC-M,80,0.4,lb,https://images.unsplash.com/photo-1503342394128-c104d54dba01?w=800,Size,Medium
tie-dye-tee,Electric Tie Dye Tee,Oversized tee in cyan and pink tie dye. Puff print logo on front.,Glitter Bomb Evacuation,T-Shirts,summer;tie-dye;oversized,39.99,49.99,TIE-ELEC-L,65,0.45,lb,https://images.unsplash.com/photo-1503342394128-c104d54dba01?w=800,Size,Large
phone-case,Holographic Phone Case,Clear case with holographic stars pattern. Available for iPhone and Samsung.,Glitter Bomb Evacuation,Accessories,tech;accessories;bestseller,24.99,,CASE-HOLO-IP14,200,0.1,lb,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,Model,iPhone 14
phone-case,Holographic Phone Case,Clear case with holographic stars pattern. Available for iPhone and Samsung.,Glitter Bomb Evacuation,Accessories,tech;accessories;bestseller,24.99,,CASE-HOLO-IP15,180,0.1,lb,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,Model,iPhone 15
phone-case,Holographic Phone Case,Clear case with holographic stars pattern. Available for iPhone and Samsung.,Glitter Bomb Evacuation,Accessories,tech;accessories;bestseller,24.99,,CASE-HOLO-SAM,120,0.1,lb,https://images.unsplash.com/photo-1601784551446-20c9e07cdbdb?w=800,Model,Samsung Galaxy
zip-hoodie,Arcade Glow Zip Hoodie,Black zip hoodie with neon pink and cyan color block panels. Reflective logo.,Glitter Bomb Evacuation,Hoodies,winter;premium;black,69.99,84.99,ZIP-ARCADE-S,40,1.0,lb,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=800,Size,Small
zip-hoodie,Arcade Glow Zip Hoodie,Black zip hoodie with neon pink and cyan color block panels. Reflective logo.,Glitter Bomb Evacuation,Hoodies,winter;premium;black,69.99,84.99,ZIP-ARCADE-M,60,1.0,lb,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=800,Size,Medium
zip-hoodie,Arcade Glow Zip Hoodie,Black zip hoodie with neon pink and cyan color block panels. Reflective logo.,Glitter Bomb Evacuation,Hoodies,winter;premium;black,69.99,84.99,ZIP-ARCADE-L,50,1.1,lb,https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?w=800,Size,Large
bucket-hat,Y2K Bucket Hat,Pink bucket hat with all-over star print. Embroidered logo on front.,Glitter Bomb Evacuation,Headwear,summer;accessories;pink,29.99,,BUCKET-Y2K,150,0.15,lb,https://images.unsplash.com/photo-1588850561407-ed78c282e89b?w=800,,
mini-backpack,Mini Star Backpack,Small pink faux leather backpack with star studs. Perfect for concerts and festivals.,Glitter Bomb Evacuation,Bags,accessories;bags;pink,44.99,54.99,MINI-STAR,80,0.6,lb,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800,,
scrunchie-set,Velvet Scrunchie Pack,Set of 5 velvet scrunchies in neon pink cyan yellow purple and white.,Glitter Bomb Evacuation,Accessories,accessories;hair;set,14.99,,SCRUNCH-SET,300,0.1,lb,https://images.unsplash.com/photo-1598532163257-ae3c6b2524g6?w=800,,
water-bottle,Glitter Water Bottle,20oz insulated bottle with floating glitter in pink liquid. Keeps drinks cold 24hrs.,Glitter Bomb Evacuation,Drinkware,drinkware;accessories;bestseller,34.99,,BOTTLE-GLIT,120,0.7,lb,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800,,
poster-set,Neon Poster Bundle,Set of 3 black light reactive posters. 18x24 inches each. UV ink prints.,Glitter Bomb Evacuation,Posters,decor;posters;set,24.99,,POST-NEON,200,0.5,lb,https://images.unsplash.com/photo-1561070791-2526d30994b5?w=800,,
charm-bracelet,Star Charm Bracelet,Silver chain bracelet with pink star moon and heart charms. Adjustable length.,Glitter Bomb Evacuation,Jewelry,jewelry;accessories;silver,22.99,,CHARM-STAR,175,0.05,lb,https://images.unsplash.com/photo-1611652022419-a9419f74343d?w=800,,
